SERIAL.NO.,STOCK NAME,SYMBOL,FIXED SYMBOL,PERCENT CHANGE,CMP,VOLUME,52W HIGH ,NEAR 52W HIGH ,52W HIGH DATE ,DATE DIFF,CHART ,200 DMA ,230 SMA(Nearly 200 EMA),SETUP 1,SETUP 2,SETUP 3, Work On Progress.... 1, Work On Progress.... 2
495,Trejhara Solutions Ltd,TREJHARA,NSE:TREJHARA,3.21,195,4,294.55,,2024-12-17,294,,222.20575,226.4293043,,,,,
208,Goldiam International Limited,GOLDIAM,NSE:GOLDIAM,0.3,379.6,12096,569,,2025-01-16,264,,387.78525,383.106087,HOT Demand Zone,Demand Zone,,,
537,Gravita India Limited,GRAVITA,NSE:GRAVITA,2.15,1557.1,373,2609.85,,2024-10-17,355,,1849.2225,1890.121087,,,,,
392,RACL Geartech Ltd,RACLGEAR,NSE:RACLGEAR,11.69,1251.6,49964,1290,Alert Signal,2025-10-01,6,,868.50075,869.3351415,,,,,
515,Raghav Productivity Enhancers Ltd,RPEL,NSE:RPEL,0.97,700.3,1025,889.5,,2024-11-12,329,,638.73275,653.8556522,HOT Demand Zone,,,,
570,Aurionpro Solutions Limited,AURIONPRO,NSE:AURIONPRO,1.08,1159.7,1008,1923.75,,2024-12-20,291,,1443.16175,1468.628478,,,Blast Setup,,
310,Steelcast Ltd,STEELCAS,NSE:STEELCAS,0.54,223.16,252,255.8,,2025-07-30,69,,197.95955,193.140913,,,Blast Setup,,
497,Pondy Oxides & Chemicals Ltd,POCL,NSE:POCL,0.17,1247.2,291,1360,Alert Signal,2025-09-22,15,,859.74125,865.8665217,,,,,
150,Sarda Energy & Minerals Limited,SARDAEN,NSE:SARDAEN,0.23,583.05,1723,639.75,Alert Signal,2025-09-16,21,,486.94825,482.2495652,,,Blast Setup,,
596,Neogen Chemicals Ltd,NEOGEN,NSE:NEOGEN,0.92,1506,24,2420,,2024-12-10,301,,1682.5995,1738.59,,,,,
439,L T Foods Ltd,LTFOODS,NSE:LTFOODS,0.77,397.2,31688,518.55,,2025-07-17,82,,414.05725,410.9421739,HOT Demand Zone,Demand Zone,,,
32,Cartrade Tech Ltd,CARTRADE,NSE:CARTRADE,0.24,2500,8580,2755,Alert Signal,2025-09-09,28,,1802.46425,1735.067609,,,,,
341,Syrma SGS Technology Ltd,SYRMA,NSE:SYRMA,0.19,819.4,34507,875,Alert Signal,2025-09-08,29,,587.91075,583.1380435,,,,,
659,Wockhardt Limited,WOCKPHARMA,NSE:WOCKPHARMA,0.63,1436.8,31954,1868.8,,2025-06-12,117,,1471.8295,1449.297391,HOT Demand Zone,Demand Zone,,,
205,Blue Jet Healthcare Ltd,BLUEJET,NSE:BLUEJET,0.1,682.05,657,1027.8,,2025-07-21,78,,762.17575,730.2684783,,,Blast Setup,,
322,Pearl Global Industries Limited,PGIL,NSE:PGIL,0,1237,7,1717,,2025-01-16,264,,1348.54125,1319.31,HOT Demand Zone,,,,
666,Garware Hi Tech Films Ltd,GRWRHITECH,NSE:GRWRHITECH,0.09,3000,2278,5378.1,,2024-12-20,291,,3772.24825,3880.672174,,,,,
632,Pokarna Limited,POKARNA,NSE:POKARNA,0.12,770.8,100,1451.65,,2025-02-04,245,,1044.4445,1051.317826,,,,Possible Double Bottom Retest!,
248,Prataap Snacks Ltd,DIAMONDYD,NSE:DIAMONDYD,-0.12,1015.7,709,1295.7,,2025-04-16,174,,1064.952,1062.133261,HOT Demand Zone,Demand Zone,,Possible Double Bottom Retest!,
636,Windlas Biotech Ltd,WINDLAS,NSE:WINDLAS,0.42,918.4,1,1198.25,,2024-11-06,335,,954.3975,966.8697826,HOT Demand Zone,Demand Zone,,,
335,Hikal Limited,HIKAL,NSE:HIKAL,0,253.55,7723,464.75,,2024-12-02,309,,350.6085,357.0356522,,,,,
686,Caplin Point Laboratories Limited,CAPLIPOINT,NSE:CAPLIPOINT,-0.04,2020.5,1642,2641,,2024-12-27,284,,2094.595,2100.774565,HOT Demand Zone,Demand Zone,,,
555,Ritco Logistics Ltd,RITCO,NSE:RITCO,1.08,263,90,444,,2024-12-11,300,,298.10975,311.2136957,,,,,
631,Sharda Cropchem Limited,SHARDACROP,NSE:SHARDACROP,0.55,843.9,3176,1181,,2025-07-29,70,,738.31475,746.8876087,,,,,
620,Kiri Industries Limited,KIRIINDUS,NSE:KIRIINDUS,-0.97,591.85,17621,740,,2025-05-30,130,,588.84525,579.2406522,HOT Demand Zone,Demand Zone,,,
621,Kiri Industries Limited,KIRIINDUS,NSE:KIRIINDUS,-0.97,591.85,17621,740,,2025-05-30,130,,588.84525,579.2406522,HOT Demand Zone,Demand Zone,,,
687,Prudent Corporate Advisory Services Ltd,PRUDENT,NSE:PRUDENT,-0.02,2642.4,371,3735.2,,2024-11-04,337,,2548.02725,2604.635217,HOT Demand Zone,Demand Zone,,,
492,Shaily Engineering Plastics Ltd,SHAILY,NSE:SHAILY,4.45,2263.2,69857,2670,,2025-09-17,20,,1732.253,1662.920652,,,,,
514,Genesys International Corporation Limited,GENESYS,NSE:GENESYS,0.75,494.8,3850,1055,,2025-01-20,260,,705.6805,724.9228261,,,,,
376,Coastal Corporation Ltd,COASTCORP,NSE:COASTCORP,-1.23,35.79,25,56.59,,2024-11-11,330,,40.10935,41.255,,,Blast Setup,,
342,Pg Electroplast Limited,PGEL,NSE:PGEL,2.11,525,12891,1054.2,,2025-01-06,274,,777.98275,769.7084783,,,Blast Setup,,
670,Hpl Electric & Power Limited,NSE:HPL,NSE:HPL,1.1,461.45,11194,639.9,,2025-07-15,84,,491.927,497.1782609,,Demand Zone,,Possible Double Bottom Retest!,
512,360 ONE WAM Ltd,360ONE,NSE:360ONE,0.13,1063.8,106,1318,,2025-01-06,274,,1059.06,1063.566522,HOT Demand Zone,Demand Zone,Blast Setup,,
363,Jubilant Ingrevia Ltd,JUBLINGREA,NSE:JUBLINGREA,-0.02,654.3,1065,885,,2024-12-12,299,,715.46875,718.5356522,,,,,
26,Associated Alcohols & Breweries Ltd,ASALCBR,NSE:ASALCBR,2.66,980.55,21,1496,,2025-02-03,246,,1132.9695,1111.80413,,,,,
74,Tilaknagar Industries Limited,TI,NSE:TI,9.05,472.5,1744,529.9,,2025-08-19,49,,0.69625,0.6426521739,,,Blast Setup,,
473,Precot Meridian Limited,PRECOT,NSE:PRECOT,-2.4,380.1,1,690.5,,2024-12-05,306,,506.66425,513.6002174,,,Blast Setup,,
660,Dishman Carbogen Amcis Ltd,DCAL,NSE:DCAL,0.36,291.4,4832,321.95,Alert Signal,2025-09-23,14,,246.09685,243.5254348,,,Blast Setup,,
393,Vimta Labs Limited,VIMTALABS,NSE:VIMTALABS,0.06,754.3,4847,902.65,,2025-09-05,32,,540.66,521.9606087,,,Blast Setup,,
153,Gallantt Metal Limited,GALLANTT,NSE:GALLANTT,-0.37,663.25,351,802.25,,2025-08-05,63,,477.04525,458.71,,,,,🔥 Volume Breakout!
685,Laurus Labs Limited,LAURUSLABS,NSE:LAURUSLABS,0.02,865,2906,944,Alert Signal,2025-09-19,18,,685.96575,665.1619565,,,,,
64,Thangamayil Jewellery Limited,THANGAMAYL,NSE:THANGAMAYL,-1.04,2065,147,2567.5,,2024-10-09,363,,1935.0625,1941.326739,HOT Demand Zone,Demand Zone,,,
131,Dynamic Cables Ltd,DYCL,NSE:DYCL,0.02,406.05,236,547.5,,2024-12-17,294,,398.3066,403.780087,HOT Demand Zone,Demand Zone,Blast Setup,,
135,Dixon Technologies,DIXON,NSE:DIXON,-0.09,17030,725,19148.9,,2024-12-17,294,,15785.024,15795.69957,,,Blast Setup,,
339,Tribhovandas Bhimji Zaveri Limited,TBZ,NSE:TBZ,0.29,185.64,11277,310.95,,2024-10-16,356,,194.91635,202.1811304,,Demand Zone,,,
185,Neuland Laboratories Limited,NEULANDLAB,NSE:NEULANDLAB,-0.01,15162,53,18100,,2024-12-04,307,,13014.94375,13346.13587,,,,,
219,Techno Electric & Engineering Company Ltd,TECHNOE,NSE:TECHNOE,0.33,1362.3,1702,1822,,2024-10-15,357,,1304.057,1330.107391,HOT Demand Zone,Demand Zone,,,
557,Va Tech Wabag Limited,WABAG,NSE:WABAG,0.39,1404.9,1029,1944,,2024-12-09,302,,1481.29575,1517.352609,,Demand Zone,,,
520,Dynamatic Technologies Limited,DYNAMATECH,NSE:DYNAMATECH,0,6955.5,4,8937,,2024-12-12,299,,6898.8345,6987.08087,HOT Demand Zone,Demand Zone,,,
490,Hind Rectifiers Limited,HIRECT,NSE:HIRECT,0.67,1693.9,366,2108.5,,2025-08-20,48,,1283.90325,1281.811522,,,,Possible Double Bottom Retest!,
658,Avalon Technologies Ltd,AVALON,NSE:AVALON,0.19,1174.4,225567,1156.4,,2025-10-06,1,,836.808,832.6867391,,,Blast Setup,,🔥 Volume Breakout!
290,Affle India Ltd,AFFLE,NSE:AFFLE,0.34,1945.3,8134,2185.9,,2025-09-22,15,,1750.27875,1736.668913,,,Blast Setup,Possible Double Bottom Retest!,
586,Himadri Speciality Chemical Limited,HSCL,NSE:HSCL,0.38,458.6,42108,676.2,,2024-10-17,355,,475.489,483.9904348,HOT Demand Zone,Demand Zone,Blast Setup,,
117,Gufic Biosciences Limited,GUFICBIO,NSE:GUFICBIO,0.37,353,899,504.25,,2024-11-08,333,,379.58225,387.1384783,,,,Possible Double Bottom Retest!,
