exchange,exchange_token,trading_symbol,groww_symbol,company_name,instrument_type,segment,series,isin,underlying_symbol,underlying_exchange_token,expiry_date,strike_price,lot_size,tick_size,freeze_quantity,is_reserved,buy_allowed,sell_allowed,internal_trading_symbol,is_intraday
NSE,4,21STCENMGM,NSE-21STCENMGM,21st Cent Mgt,EQ,CASH,EQ,INE253B01015,,,,,1,0.01,,,1,1,21STCENMGM-EQ,0
NSE,16921,20MICRONS,NSE-20MICRONS,20 Microns,EQ,CASH,EQ,INE144J01027,,,,,1,0.01,,,1,1,20MICRONS-EQ,1
NSE,13061,360ONE,NSE-360ONE,360 One Wam,EQ,CASH,EQ,INE466L01038,,,,,1,0.1,,,1,1,360ONE-EQ,1
NSE,2595,3PLAND,NSE-3PLAND,3P Land Holdings,EQ,CASH,EQ,INE105C01023,,,,,1,0.01,,,1,1,3PLAND-EQ,0
NSE,474,3MINDIA,NSE-3MINDIA,3M India,EQ,CASH,EQ,INE470A01017,,,,,1,5.0,,,1,1,3MINDIA-EQ,1
NSE,445,5PAISA,NSE-5PAISA,5Paisa Capital,EQ,CASH,EQ,INE618L01018,,,,,1,0.05,,,1,1,5PAISA-EQ,1
NSE,762518,3BBLACKBIO,NSE-3BBLACKBIO,3B Blackbio Dx,EQ,CASH,EQ,INE994E01018,,,,,1,0.1,,,1,1,3BBLACKBIO-EQ,1
NSE,6232,3IINFOLTD,NSE-3IINFOLTD,3i Infotech,EQ,CASH,EQ,INE748C01038,,,,,1,0.01,,,1,1,3IINFOLTD-EQ,0
NSE,11868,63MOONS,NSE-63MOONS,63 Moons Tech,EQ,CASH,EQ,INE111B01023,,,,,1,0.05,,,1,1,63MOONS-EQ,1
NSE,23729,AADHARHFC,NSE-AADHARHFC,Aadhar Housing Fin,EQ,CASH,EQ,INE883F01010,,,,,1,0.05,,,1,1,AADHARHFC-EQ,1
NSE,12533,AAATECH,NSE-AAATECH,AAA Technologies,EQ,CASH,EQ,INE0D0U01013,,,,,1,0.01,,,1,1,AAATECH-EQ,0
NSE,20906,A2ZINFRA,NSE-A2ZINFRA,A2Z Infra Engg,EQ,CASH,EQ,INE619I01012,,,,,1,0.01,,,1,1,A2ZINFRA-EQ,0
