instrument_key,trading_symbol,isin,company_name,exchange,segment
NSE_EQ|INE0LLY01014,EIEL,INE0LLY01014,ENVIRO INFRA ENGINEERS L,NSE,NSE_EQ
NSE_EQ|INE585B01010,MARUTI,INE585B01010,MARUTI SUZUKI INDIA LTD.,NSE,NSE_EQ
NSE_EQ|INE139A01034,NATIONALUM,INE139A01034,NATIONAL ALUMINIUM CO LTD,NSE,NSE_EQ
NSE_EQ|INE912H01013,MBLINFRA,INE912H01013,MBL INFRASTRUCTURE LTD,NSE,NSE_EQ
NSE_EQ|INE763I01026,TARIL,INE763I01026,TRANS & RECTI. LTD,NSE,NSE_EQ
NSE_EQ|INE875G01048,NDL,INE875G01048,NANDAN DENIM LIMITED,NSE,NSE_EQ
NSE_EQ|INE449C01025,ANDREWYU,INE449C01025,ANDREW YULE & CO. LTD.,NSE,NSE_EQ
NSE_EQ|INE919I01024,RADIOCITY,INE919I01024,MUSIC BROADCAST LIMITED,NSE,NSE_EQ
NSE_EQ|INE314T01033,GOKULAGRO,INE314T01033,GOKUL AGRO RESOURCES LTD,NSE,NSE_EQ
NSE_EQ|INE12F801023,KISSHT,INE12F801023,ONEMI TECHNOLOGY SOL LTD,NSE,NSE_EQ
NSE_EQ|INE395U01014,NINSYS,INE395U01014,NINTEC SYSTEMS LIMITED,NSE,NSE_EQ
NSE_EQ|INE970X01018,LEMONTREE,INE970X01018,LEMON TREE HOTELS LTD,NSE,NSE_EQ
NSE_EQ|INE977Y01011,BCONCEPTS,INE977Y01011,BRAND CONCEPTS LIMITED,NSE,NSE_EQ
NSE_EQ|INE618R01015,SGFIN,INE618R01015,SG FINSERVE LIMITED,NSE,NSE_EQ
NSE_EQ|INE522D01027,MANAPPURAM,INE522D01027,MANAPPURAM FINANCE LTD,NSE,NSE_EQ
NSE_EQ|INE017W01010,SMLT,INE017W01010,SARTHAK METALS LIMITED,NSE,NSE_EQ
NSE_EQ|INE250B01029,VINYLINDIA,INE250B01029,VINYL CHEMICALS (I) LTD.,NSE,NSE_EQ
NSE_EQ|INE955I01044,SEJALLTD,INE955I01044,SEJAL GLASS LIMITED,NSE,NSE_EQ
NSE_EQ|INE485C01029,IOLCP,INE485C01029,IOL CHEM AND PHARMA LTD,NSE,NSE_EQ
NSE_EQ|INE660C01027,CENTRUM,INE660C01027,CENTRUM CAPITAL LIMITED,NSE,NSE_EQ
NSE_EQ|INE991I01015,ASPINWALL,INE991I01015,ASPINWALL & CO LTD,NSE,NSE_EQ
NSE_EQ|INE932X01026,SHAREINDIA,INE932X01026,SHARE IND. SECURITIES LTD,NSE,NSE_EQ
NSE_EQ|INE032A01023,BOMDYEING,INE032A01023,BOMBAY DYEING & MFG. CO L,NSE,NSE_EQ
NSE_EQ|INE353H01010,SGL,INE353H01010,STL GLOBAL LIMITED,NSE,NSE_EQ
NSE_EQ|INE177A01018,INGERRAND,INE177A01018,INGERSOLL-RAND INDIA LTD,NSE,NSE_EQ
NSE_EQ|INE772T01024,PVSL,INE772T01024,POPULAR VEHICLES N SER L,NSE,NSE_EQ
NSE_EQ|INE016Q01014,CEINSYS,INE016Q01014,CEINSYS TECH LIMITED,NSE,NSE_EQ
NSE_EQ|INE175A01038,JISLJALEQS,INE175A01038,JAIN IRRIGATION SYSTEMS,NSE,NSE_EQ
NSE_EQ|INE716D01033,CRSL,INE716D01033,CRESSANDA RAILWAY SOLUT L,NSE,NSE_EQ
NSE_EQ|INE0P6P01016,CPEDU,INE0P6P01016,CAREER POINT EDUTECH LTD,NSE,NSE_EQ
NSE_EQ|INE629D01020,BANSWRAS,INE629D01020,BANSWARA SYNTEX LIMITED,NSE,NSE_EQ
NSE_EQ|INE642Y01029,HINDCON,INE642Y01029,HINDCON CHEMICALS LIMITED,NSE,NSE_EQ
NSE_EQ|INE737H01014,FIEMIND,INE737H01014,FIEM INDUSTRIES LIMITED,NSE,NSE_EQ
NSE_EQ|INE916U01025,SFL,INE916U01025,SHEELA FOAM LIMITED,NSE,NSE_EQ
NSE_EQ|INE0PT501018,PLATIND,INE0PT501018,PLATINUM INDUSTRIES LTD,NSE,NSE_EQ
NSE_EQ|INE766P01016,MAHLOG,INE766P01016,MAHINDRA LOGISTIC LIMITED,NSE,NSE_EQ
NSE_EQ|INE540G01014,AMBIKCO,INE540G01014,AMBIKA COTTON MILL LTD.,NSE,NSE_EQ
NSE_EQ|INE672B01032,MUNJALAU,INE672B01032,MUNJAL AUTO IND. LTD.,NSE,NSE_EQ
NSE_EQ|INE201P01022,GRINFRA,INE201P01022,G R INFRAPROJECTS LIMITED,NSE,NSE_EQ
NSE_EQ|INE1NPP01017,ENRIN,INE1NPP01017,SIEMENS ENERGY INDIA LTD,NSE,NSE_EQ
NSE_EQ|INE0GK401011,TATVA,INE0GK401011,TATVA CHIN PHARM CHEM LTD,NSE,NSE_EQ
NSE_EQ|INE427F01016,CHALET,INE427F01016,CHALET HOTELS LIMITED,NSE,NSE_EQ
NSE_EQ|INE227G01018,INDOWIND,INE227G01018,INDOWIND ENERGY LTD,NSE,NSE_EQ
NSE_EQ|INE00R701025,DALBHARAT,INE00R701025,DALMIA BHARAT LIMITED,NSE,NSE_EQ
NSE_EQ|INE03CC01015,JUBLCPL,INE03CC01015,JUBILANT AGRI N CON PRO L,NSE,NSE_EQ
NSE_EQ|INE060B01014,KHANDSE,INE060B01014,KHANDWALA SECURITIES LTD,NSE,NSE_EQ
NSE_EQ|INE0KGZ01021,SIGNPOST,INE0KGZ01021,SIGNPOST INDIA LIMITED,NSE,NSE_EQ
NSE_EQ|INE438K01021,KALAMANDIR,INE438K01021,SAI SILKS (KALAMANDIR) L,NSE,NSE_EQ
NSE_EQ|INE879A01019,SHREERAMA,INE879A01019,SHREE RAMA MULTI TECH LTD,NSE,NSE_EQ
NSE_EQ|INE0BTI01037,KAMOPAINTS,INE0BTI01037,KAMDHENU VENTURES LIMITED,NSE,NSE_EQ
